task,level,test_year,features,model,recal,n_train,n_test,n_features,fit_seconds,PR_AUC,ROC_AUC,Brier,LogLoss,base_rate
y_run3,hour,2024,cal+AR(D-1)+FC,logit,month,43058,8784,55,2.033,0.7677742403544555,0.9833951429596842,0.02207501933243564,0.07284417890855835,0.048383424408014575
y_run3,hour,2024,cal+AR(D-1)+FC,lgbm,month,43058,8784,55,12.008,0.7447679514105691,0.9799280803360941,0.02641464151786514,0.18360825462407046,0.048383424408014575
y_run3,hour,2025,cal,logit,month,52609,8759,7,0.317,0.4089365838746273,0.8857867131412971,0.04778201150734902,0.16899418263227925,0.06359173421623474
y_run3,hour,2025,cal,lgbm,month,52609,8759,7,4.383,0.3832282839364802,0.8690429754620431,0.0508005467499289,0.24021346064075422,0.06359173421623474
y_run3,hour,2025,cal+AR(D-2),logit,month,51842,8759,14,0.264,0.5184003371249817,0.9152943385967516,0.041748004233242396,0.14792195039415262,0.06359173421623474
y_run3,hour,2025,cal+AR(D-2),lgbm,month,51842,8759,14,6.691,0.41456115897752144,0.8845880739338875,0.05115764223982272,0.2584615468388751,0.06359173421623474
y_run3,hour,2025,cal+AR(D-1),logit,month,51842,8759,24,0.579,0.6234295659751079,0.951944768036171,0.03549753843396777,0.12170103558687992,0.06359173421623474
y_run3,hour,2025,cal+AR(D-1),lgbm,month,51842,8759,24,8.742,0.550019431844165,0.9404837108959281,0.044280664599672566,0.2162795301843621,0.06359173421623474
y_run3,hour,2025,cal+FC,logit,month,52603,8759,38,1.738,0.8185334456224113,0.9846308887309965,0.022877824128349104,0.07635947520487568,0.06359173421623474
y_run3,hour,2025,cal+FC,lgbm,month,52603,8759,38,10.189,0.81124496556747,0.9817378254723528,0.027988335650446883,0.1352542575469191,0.06359173421623474
y_run3,hour,2025,cal+AR(D-1)+FC,logit,month,51842,8759,55,2.763,0.8255752715092475,0.9841534906098569,0.02353567409998709,0.07975188459336047,0.06359173421623474
y_run3,hour,2025,cal+AR(D-1)+FC,lgbm,month,51842,8759,55,14.223,0.8497852577339352,0.9862977326982034,0.02395699318093436,0.12034083243793146,0.06359173421623474
y_run4,hour,2021,cal,logit,month,17545,8760,7,0.258,0.062423504439915026,0.8606905840505285,0.013259911630675475,0.060735464830812574,0.013356164383561644
y_run4,hour,2021,cal,lgbm,month,17545,8760,7,4.291,0.09652137780439725,0.8609551131244988,0.015519875744190387,0.09436784106110442,0.013356164383561644
y_run4,hour,2021,cal+AR(D-2),logit,month,16778,8760,14,0.402,0.08437587009322059,0.8743472065235343,0.013214398005460941,0.059895871503703256,0.013356164383561644
y_run4,hour,2021,cal+AR(D-2),lgbm,month,16778,8760,14,6.775,0.0946806507725524,0.8354826938652,0.013322373472610501,0.1328317704685425,0.013356164383561644
y_run4,hour,2021,cal+AR(D-1),logit,month,16778,8760,24,0.779,0.16200334820117912,0.9157353759922312,0.01288289843283563,0.05694915057468456,0.013356164383561644
y_run4,hour,2021,cal+AR(D-1),lgbm,month,16778,8760,24,8.989,0.17711716882180217,0.9172137721252611,0.013736154712546063,0.1282071584954262,0.013356164383561644
y_run4,hour,2021,cal+FC,logit,month,17539,8760,38,2.096,0.8443420220202948,0.996178914610015,0.005326250219714561,0.01776728133283749,0.013356164383561644
y_run4,hour,2021,cal+FC,lgbm,month,17539,8760,38,10.878,0.8259832260972729,0.9909130554739718,0.006609122685058107,0.04274638341750252,0.013356164383561644
y_run4,hour,2021,cal+AR(D-1)+FC,logit,month,16778,8760,55,2.771,0.7296226733537162,0.9942406828904573,0.0063217105611720675,0.021957911009195162,0.013356164383561644
y_run4,hour,2021,cal+AR(D-1)+FC,lgbm,month,16778,8760,55,12.481,0.8509285790688067,0.9963381265012643,0.005278824292986679,0.03291904131588081,0.013356164383561644
y_run4,hour,2022,cal,logit,month,26305,8760,7,0.235,0.022446793498142825,0.6925977011494253,0.007625487537730542,0.04627797333583631,0.00684931506849315
y_run4,hour,2022,cal,lgbm,month,26305,8760,7,5.165,0.019022410457682912,0.7784463601532567,0.012379378252649053,0.08563079971627667,0.00684931506849315
y_run4,hour,2022,cal+AR(D-2),logit,month,25538,8760,14,0.791,0.10111999851178988,0.9169425287356322,0.006787425525610325,0.033405700593635027,0.00684931506849315
y_run4,hour,2022,cal+AR(D-2),lgbm,month,25538,8760,14,8.147,0.09268561084014014,0.7322049808429119,0.006698447746281367,0.07860707960112805,0.00684931506849315
