task,level,test_year,features,model,n_train,n_test,n_features,fit_seconds,PR_AUC,ROC_AUC,Brier,LogLoss,base_rate
y_run4,hour,2025,cal+AR(D-1)+FC,logit,51842,8759,55,0.617,0.7928801083815011,0.9827419077510086,0.024747236360092545,0.0809371156973098,0.05913917113825779
y_run4,hour,2025,cal+AR(D-1)+FC,lgbm,51842,8759,55,2.894,0.7928732322542369,0.9829457102846254,0.028019746251511365,0.13052150650170552,0.05913917113825779
y_day4,day,2021,cal,logit,732,365,7,0.007,0.20766586406163068,0.8238515363553393,0.04706367953084184,0.17505437292954182,0.052054794520547946
y_day4,day,2021,cal,lgbm,732,365,7,0.293,0.20809426683402363,0.8040766656525707,0.05786704809685146,0.3036025265497542,0.052054794520547946
y_day4,day,2021,cal+AR(D-2),logit,700,365,14,0.013,0.3148278736416981,0.809400669303316,0.042913781992507276,0.20697993878245238,0.052054794520547946
y_day4,day,2021,cal+AR(D-2),lgbm,700,365,14,0.334,0.24861208848166252,0.7514450867052023,0.048428357348234474,0.41921002004804053,0.052054794520547946
y_day4,day,2021,cal+AR(D-1),logit,700,365,24,0.017,0.5155981729086013,0.8842409491937937,0.03691716312463683,0.16992640552353358,0.052054794520547946
y_day4,day,2021,cal+AR(D-1),lgbm,700,365,24,0.351,0.49233615651610235,0.8726802555521753,0.04106489215826079,0.32432310507771994,0.052054794520547946
y_day4,day,2021,cal+FC,logit,731,365,38,0.025,0.8782923497679325,0.9899604502585945,0.01701916440784855,0.05475004614422844,0.052054794520547946
y_day4,day,2021,cal+FC,lgbm,731,365,38,0.382,0.8784175669283796,0.9867660480681473,0.021160687341730836,0.13035954690309215,0.052054794520547946
y_day4,day,2021,cal+AR(D-1)+FC,logit,700,365,55,0.025,0.8491141658663877,0.9875266200182538,0.01875833496370288,0.06330292573243503,0.052054794520547946
y_day4,day,2021,cal+AR(D-1)+FC,lgbm,700,365,55,0.666,0.8885042101461669,0.9873745056282324,0.017924031479191336,0.11792548116388862,0.052054794520547946
y_day4,day,2022,cal,logit,1097,365,7,0.01,0.1449431150435311,0.6194366197183099,0.03473112906237934,0.15566617895197976,0.0273972602739726
y_day4,day,2022,cal,lgbm,1097,365,7,0.333,0.03728552746410524,0.5929577464788732,0.046909034812481494,0.33064889507698475,0.0273972602739726
y_day4,day,2022,cal+AR(D-2),logit,1065,365,14,0.024,0.16899451418610983,0.8492957746478873,0.0273948738063527,0.11389266562697542,0.0273972602739726
y_day4,day,2022,cal+AR(D-2),lgbm,1065,365,14,0.504,0.2192939600082457,0.8743661971830987,0.03019553600460357,0.20287551611448681,0.0273972602739726
y_day4,day,2022,cal+AR(D-1),logit,1065,365,24,0.019,0.15363706449919265,0.916338028169014,0.04057455824343386,0.12447142304587819,0.0273972602739726
y_day4,day,2022,cal+AR(D-1),lgbm,1065,365,24,0.483,0.21671157793167176,0.9335211267605634,0.04227171847926389,0.21211368016736712,0.0273972602739726
y_day4,day,2022,cal+FC,logit,1096,365,38,0.025,0.5334010989010989,0.9712676056338029,0.033454769534668034,0.10935639887604644,0.0273972602739726
y_day4,day,2022,cal+FC,lgbm,1096,365,38,0.454,0.5685178660900081,0.9636619718309859,0.03592518511913356,0.24971482394602934,0.0273972602739726
y_day4,day,2022,cal+AR(D-1)+FC,logit,1065,365,55,0.033,0.5689984576826682,0.9839436619718309,0.02163829162697963,0.06924814761925786,0.0273972602739726
y_day4,day,2022,cal+AR(D-1)+FC,lgbm,1065,365,55,0.56,0.6598832866479925,0.9743661971830986,0.030539702823161013,0.1847999606156978,0.0273972602739726
y_day4,day,2023,cal,logit,1462,365,7,0.009,0.1350790525127304,0.6177489177489177,0.09002996773329298,0.35131110651795305,0.0958904109589041
y_day4,day,2023,cal,lgbm,1462,365,7,0.246,0.1891556204054852,0.6932467532467532,0.09897594349350547,0.7204438157659179,0.0958904109589041
y_day4,day,2023,cal+AR(D-2),logit,1430,365,14,0.014,0.22131976127750586,0.703030303030303,0.08511043222307033,0.34399219118528246,0.0958904109589041
y_day4,day,2023,cal+AR(D-2),lgbm,1430,365,14,0.394,0.3312909319002878,0.7183549783549784,0.08413755445226141,0.9277526369920475,0.0958904109589041
y_day4,day,2023,cal+AR(D-1),logit,1430,365,24,0.02,0.42504247129188744,0.8103896103896104,0.07397569366008955,0.3034804460643837,0.0958904109589041
y_day4,day,2023,cal+AR(D-1),lgbm,1430,365,24,0.448,0.45864371545717403,0.8293506493506493,0.08170628887910136,0.7198358547784228,0.0958904109589041
y_day4,day,2023,cal+FC,logit,1461,365,38,0.028,0.7431036952291079,0.9615584415584415,0.054463756049845054,0.18166904377476303,0.0958904109589041
y_day4,day,2023,cal+FC,lgbm,1461,365,38,0.49,0.8045081097037857,0.9699567099567099,0.05225723547249396,0.3163069279326124,0.0958904109589041
y_day4,day,2023,cal+AR(D-1)+FC,logit,1430,365,55,0.03,0.7997325200526763,0.9718614718614719,0.04096870120503071,0.13868740134939375,0.0958904109589041
y_day4,day,2023,cal+AR(D-1)+FC,lgbm,1430,365,55,0.606,0.8478882803782604,0.9775757575757577,0.0503601680671515,0.25853428391457,0.0958904109589041
y_day4,day,2024,cal,logit,1827,366,7,0.011,0.2911071994390828,0.6683597416220395,0.13649867064390403,0.48259109194870453,0.16120218579234974
y_day4,day,2024,cal,lgbm,1827,366,7,0.301,0.25911363137487725,0.6385469000165627,0.15349787142236695,1.0101048941558821,0.16120218579234974
y_day4,day,2024,cal+AR(D-2),logit,1795,366,14,0.015,0.3455034597332534,0.709380003312538,0.13205669283823812,0.47576725010083104,0.16120218579234974
y_day4,day,2024,cal+AR(D-2),lgbm,1795,366,14,0.491,0.3502132023894202,0.7088831226191133,0.1504206298804323,1.156702453512859,0.16120218579234974
y_day4,day,2024,cal+AR(D-1),logit,1795,366,24,0.021,0.5389813194277432,0.819025009661569,0.11081863924283987,0.3878763247932006,0.16120218579234974
y_day4,day,2024,cal+AR(D-1),lgbm,1795,366,24,0.648,0.5666525419419332,0.8250427869486004,0.12153842169958418,0.8984612193658588,0.16120218579234974
y_day4,day,2024,cal+FC,logit,1826,366,38,0.045,0.665129720615155,0.9207199249158065,0.0909872261770451,0.29398583671061085,0.16120218579234974
y_day4,day,2024,cal+FC,lgbm,1826,366,38,0.653,0.6477360629452564,0.9069176834317894,0.10925012941286912,0.8020942313748795,0.16120218579234974
y_day4,day,2024,cal+AR(D-1)+FC,logit,1795,366,55,0.042,0.7158218024088429,0.9325898525920611,0.08063484523314673,0.27265349611098993,0.16120218579234974
y_day4,day,2024,cal+AR(D-1)+FC,lgbm,1795,366,55,0.761,0.7528742070818978,0.9371169877988185,0.082147614758506,0.5569456069287351,0.16120218579234974
y_day4,day,2025,cal,logit,2193,365,7,0.008,0.49761250253416606,0.7170045144728688,0.17195364579591768,0.5635854925833861,0.21643835616438356
y_day4,day,2025,cal,lgbm,2193,365,7,0.319,0.3142533881310848,0.6657077100115074,0.2117235957386286,0.9864781163234831,0.21643835616438356
y_day4,day,2025,cal+AR(D-2),logit,2161,365,14,0.02,0.6977770493288031,0.8569531734088696,0.12150596836638397,0.38920767538515794,0.21643835616438356
y_day4,day,2025,cal+AR(D-2),lgbm,2161,365,14,0.613,0.5611639911349952,0.7677259449411348,0.15657031818466885,0.8581594390011311,0.21643835616438356
y_day4,day,2025,cal+AR(D-1),logit,2161,365,24,0.038,0.7668043124235003,0.9146233513322122,0.09848362054393466,0.3095572623477976,0.21643835616438356
y_day4,day,2025,cal+AR(D-1),lgbm,2161,365,24,0.806,0.6665144597578917,0.8544303797468353,0.14627696590312222,0.822038150349757,0.21643835616438356
y_day4,day,2025,cal+FC,logit,2192,365,38,0.057,0.832965093646755,0.9410020359387448,0.0811702339399507,0.2556754517411966,0.21643835616438356
y_day4,day,2025,cal+FC,lgbm,2192,365,38,0.707,0.7713074007090122,0.924404709214836,0.12495019467909556,0.747264563064159,0.21643835616438356
y_day4,day,2025,cal+AR(D-1)+FC,logit,2161,365,55,0.054,0.8705181173836263,0.9557847216075064,0.07161492727448408,0.22450537004883428,0.21643835616438356
y_day4,day,2025,cal+AR(D-1)+FC,lgbm,2161,365,55,0.918,0.8237994047927897,0.9433035319111268,0.1059357364589426,0.6708013157200985,0.21643835616438356
